Owner,State,County,Country_Code,Acres,Acq_Year,Lat,Lng,Miles_Away,Nearest_Base,Base_Type,China_Flag,Iran_Flag,Russia_Flag,NK_Flag
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,320.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,260.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,270.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,240.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,240.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,221.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,217.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,163.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,422.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,160.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,160.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,162.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,160.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,160.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,157.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,160.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,160.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,160.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,146.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,144.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,160.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,160.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,130.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,120.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,100.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,84.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,80.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,80.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,78.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,80.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,79.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,80.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,80.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,27.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
"EDELWEISS, INC.& MARISA, INC.",California,Solano,999 - NO PREDOMINANT COUNTRY CODE,303.0,1976.0,38.27,-121.9328,32.2,"Travis AFB, CA",Air Force,,,,
"BELLEI, PLOOG SCHUMIDT",California,Solano,999 - NO PREDOMINANT COUNTRY CODE,31.0,1978.0,38.27,-121.9328,32.2,"Travis AFB, CA",Air Force,,,,
T L.L.C.,Colorado,Grand,998 - NO FOREIGN INVESTOR LISTED,96.78,2004.0,40.1026,-106.1183,32.3,"Fort Carson, CO",Army,,,,
LEHIGH CEMENT CO LLC,Maryland,Carroll,999 - NO PREDOMINANT COUNTRY CODE,154.0,1977.0,39.5629,-77.0225,32.4,"Andrews AFB, MD",Air Force,,,,
NEVER BEND LLC,California,San Joaquin,999 - NO PREDOMINANT COUNTRY CODE,247.0,1999.0,37.9348,-121.2714,33.6,"Travis AFB, CA",Air Force,,,,
NEVER BEND LLC,California,San Joaquin,999 - NO PREDOMINANT COUNTRY CODE,77.0,2006.0,37.9348,-121.2714,33.6,"Travis AFB, CA",Air Force,,,,
NEVER BEND LLC,California,San Joaquin,999 - NO PREDOMINANT COUNTRY CODE,240.0,1996.0,37.9348,-121.2714,33.6,"Travis AFB, CA",Air Force,,,,
NEVER BEND LLC,California,San Joaquin,999 - NO PREDOMINANT COUNTRY CODE,80.0,1996.0,37.9348,-121.2714,33.6,"Travis AFB, CA",Air Force,,,,
Evergreen Timber Co. FL  LLC,Florida,Walton,999 - NO PREDOMINANT COUNTRY CODE,185.47,2020.0,30.6436,-86.1697,34.3,"Eglin AFB, FL",Air Force,,,,
Hanson Aggregates Pennsylvania LLC,Maryland,Frederick,999 - NO PREDOMINANT COUNTRY CODE,163.0,2009.0,39.4722,-77.398,34.5,"NRO Chantilly, VA",Intel,0.0,0.0,0.0,0.0
Hanson Aggregates Pennsylvania LLC,Maryland,Frederick,999 - NO PREDOMINANT COUNTRY CODE,26.0,2008.0,39.4722,-77.398,34.5,"NRO Chantilly, VA",Intel,0.0,0.0,0.0,0.0
"HTFF SE-T, LLC",South Carolina,Berkeley,998 - NO FOREIGN INVESTOR LISTED,16477.0,2023.0,33.1973,-79.9522,34.7,"MCAS Beaufort, SC",Navy,0.0,0.0,0.0,0.0
BERKELEY PINES LTD PARTNERSHIP,South Carolina,Berkeley,998 - NO FOREIGN INVESTOR LISTED,954.0,2012.0,33.1973,-79.9522,34.7,"MCAS Beaufort, SC",Navy,,,,
"CRAY FIELDS ENERGY CENTER, LLC",South Carolina,Berkeley,999 - NO PREDOMINANT COUNTRY CODE,787.0,2023.0,33.1973,-79.9522,34.7,"MCAS Beaufort, SC",Navy,0.0,0.0,0.0,0.0
"FIA TIMBER PARTNERS II, LP",Georgia,Talbot,999 - NO PREDOMINANT COUNTRY CODE,9000.0,2011.0,32.6995,-84.533,34.8,"Fort Moore, GA",Army,,,,
